index,Title,Date,Genre,orig_lang,Revenue($),Budget($),country,score
39,Shotgun Wedding,26-01-2023,"Action, Comedy, Romance", English,4495365,16050000,Australia,63
40,John Wick: Chapter 3 - Parabellum,16-05-2019,"Action, Thriller, Crime", English,326709727,55000000,Australia,74
41,Legion of Super-Heroes,07-02-2023,"Animation, Action, Science Fiction", English,778431865.2,113400000,United States,63
42,Fall,22-09-2022,"Thriller, Drama", English,16120263,3000000,Australia,73
43,Lord of the Streets,22-04-2022,Action, English,22790427.2,1000000,United States,52
44,Little Dixie,03-02-2023,"Thriller, Action, Drama, Crime", English,748525217.4,141340000,United States,60
45,The Whale,02-02-2023,Drama, English,36752010,3000000,Australia,81
46,Prey for the Devil,28-10-2022,"Horror, Thriller", English,37655699,27240305,United States,71
47,Bandit,23-09-2022,"Crime, Drama, Thriller", English,484414431,115000000,United States,62
48,Roald Dahl's Matilda the Musical,08-12-2022,"Family, Comedy, Fantasy", English,13276499,25000000,Australia,68
49,The Simpsons Meet the Bocellis in Feliz Navidad,15-12-2022,"Animation, Family, Comedy", English,425726914.4,97200000,United States,52
50,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,25-02-2021,"Animation, Action, Adventure, Fantasy, Thriller", Japanese,503063688,15800000,Australia,83
51,Huesera: The Bone Woman,23-02-2023,"Drama, Horror, Mystery"," Spanish, Castilian",670271186.2,135000000,Mexico,58
52,The Last Heretic,09-11-2022,"Thriller, Horror"," Spanish, Castilian",344127931.8,122400000,Argentina,55
53,JUNG_E,20-01-2023,"Science Fiction, Action, Adventure", Korean,580188584,66240000,South Korea,63
54,A Man Called Otto,01-01-2023,"Comedy, Drama", English,108973274,50000000,Australia,79
55,Champions,09-03-2023,Comedy, English,9263009,51880004,Australia,68
56,Dungeons & Dragons: Honor Among Thieves,30-03-2023,"Adventure, Fantasy, Comedy", English,158598670,150000000,Australia,76
57,Troll,01-12-2022,"Fantasy, Action, Adventure, Thriller", Norwegian,977795653.4,121400000,Australia,68
58,Sonic the Hedgehog 2,31-03-2022,"Action, Adventure, Family, Comedy", English,405421518,90000000,Australia,76
59,A Bronx Tale,20-05-1994,"Drama, Crime", English,17287898,10000000,Australia,78
60,Big Trip 2: Special Delivery,19-01-2023,"Animation, Family, Adventure, Comedy", Russian,416119951.4,95200000,Australia,65
61,Encanto at the Hollywood Bowl,28-12-2022,Music, English,533207056.8,127000000,United States,73
62,The Forbidden Legend: Sex & Chopsticks 2,04-03-2009,"Comedy, Drama, Romance", Cantonese,318375960.2,89600000,Hong Kong,60
